,tput,tputUL,cellid
2021-06-25 11:42:59.945,0.15798409802035754,0.15798409802035754,c1/B13
2021-06-25 11:42:59.955,0.15796879428470179,0.15796879428470179,c1/B13
2021-06-25 11:42:59.965,0.157944879560534,0.157944879560534,c1/B13
2021-06-25 11:42:59.945,0.13693925509601657,0.13693925509601657,c1/B2
2021-06-25 11:42:59.955,0.13696039020997314,0.13696039020997314,c1/B2
2021-06-25 11:42:59.965,0.1369739090732096,0.1369739090732096,c1/B2
2021-06-25 11:42:59.945,0.16589222705910256,0.16589222705910256,c1/N77
2021-06-25 11:42:59.955,0.16591314732486234,0.16591314732486234,c1/N77
2021-06-25 11:42:59.965,0.16592949054064388,0.16592949054064388,c1/N77
2021-06-25 11:42:59.945,0.118102192688829,0.118102192688829,c4/B13
2021-06-25 11:42:59.955,0.118102192688829,0.118102192688829,c4/B13
2021-06-25 11:42:59.965,0.118102192688829,0.118102192688829,c4/B13
2021-06-25 11:42:59.945,0.118102192688829,0.118102192688829,c5/B13
2021-06-25 11:42:59.955,0.118102192688829,0.118102192688829,c5/B13
2021-06-25 11:42:59.965,0.118102192688829,0.118102192688829,c5/B13
2021-06-25 11:43:06.365,0.118102192688829,0.118102192688829,c6/B13
2021-06-25 11:43:06.375,0.118102192688829,0.118102192688829,c6/B13
2021-06-25 11:43:06.385,0.118102192688829,0.118102192688829,c6/B13
